,artist,album,year
227,3 Marias,Depois,2017
23,4 Taste,4 Taste,2007
545,4 Taste,Ao vivo no campo pequeno,2007
415,4 Taste,Take 2,2008
334,5-30,5-30,2014
277,A Naifa,3 minutos antes de a maré encher,2006
621,A Naifa,As canções d'A Naifa,2013
416,Adelaide Ferreira,O melhor de,2008
519,Adiafa,Tá o balho armado,2004
441,Adiafa,Adiafa,2006
314,Adriana [PT],O que tinha de ser,2011
139,Agir,Leva-me a sério,2016
410,Agir,No Fame,2018
275,Ala Dos Namorados,Ao vivo no S. Luiz,2004
293,Ala Dos Namorados,Mentiroso normal,2007
264,Ala Dos Namorados,Ala Dos Namorados - Razão de ser,2013
367,Ala Dos Namorados,Vintage,2017
356,Aldina Duarte,Apenas o amor,2004
216,Aldina Duarte,Crua,2006
461,Aldina Duarte,Contos de fados,2011
392,Aldina Duarte,Romance,2015
354,Aldina Duarte,Quando se ama loucamente,2018
625,Aldina Duarte,Roubados,2019
449,Alfa [PT],As músicas do Alfa!,2011
620,Algodao,A gramatica da paixao dramati,2012
372,Allana Parker,Hera,2007
274,Amelia Muge,Archipelagos (Passagens),2018
96,Amor Electro,Cai o carmo e a trindade,2012
316,Amor Electro,Cai O Carmo E A Trindade,2012
599,Amor Electro,Revolução,2013
182,Amor Electro,#4,2019
470,Amália Rodrigues,Ai mouraria,2004
467,Amália Rodrigues,Marchas populares,2005
552,Amália Rodrigues,O melhor de Amália vol. I - Fado da despedi,2006
43,Amália Rodrigues,Amália,2008
199,Amália Rodrigues,The Art Of Amália Rodrigues,2008
201,Amália Rodrigues,Amália - BSO,2009
70,Amália Rodrigues,Amália - Coração independente,2010
81,Amália Rodrigues,Com que voz,2011
219,Amália Rodrigues,The Art Of Amália 1 é 2,2012
469,Amália Rodrigues,Amália de porto em porto,2014
653,Amália Rodrigues,Amália no chiado,2014
503,Amália Rodrigues,Fado português,2015
561,Amália Rodrigues,Amália canta Portugal,2016
352,Amália Rodrigues,A una terra che amo,2017
586,Amália Rodrigues,"Amália - Coliseu Lisboa, 3 de abril 1987",2017
167,Amália Rodrigues,Fados 67,2018
527,Amália Rodrigues,É ou não é?,2018
206,Ana Bacalhau,Nome próprio,2018
299,Ana Bacalhau / Jorge Benvinda / Sérgio Godinho / Vitorino,Canções de Roda,2019
266,Ana Malhoa,Azucar,2013
45,Ana Moura,Para além da saudade,2008
68,Ana Moura,Leva-me aos fados,2010
374,Ana Moura,Ana Moura,2011
101,Ana Moura,Desfado,2013
134,Ana Moura,Moura,2016
482,Ana Moura,Guarda-me a vida na mão - Keep My Life In Your Hand,2018
508,Anabela,Nós,2010
37,Anabela & Carlos Guilherme,Encontro,2007
295,Anaquim,As vidas dos outros,2010
287,Anaquim,Um dia destes,2016
624,Anaquim,O quarto de Anaquim,2018
24,André Sardet,Acústico,2007
52,André Sardet,Mundo de Cartão,2009
313,André Sardet,"Pára, escuta e olha",2011
348,Angel-O,Angel-O,2012
57,Angélico,Angélico,2009
88,Angélico,Eu acredito,2012
327,Anjos,Vingança,2007
202,Anjos,Virar a página,2010
103,Anjos,Anjos acústico,2013
173,Anjos,Longe,2018
321,António Chainho,Cumplicidades,2015
217,António Variações,O melhor de António Variações,2006
379,António Variações,A história de António Variações - De Braga a Nova Iorque,2006
556,António Variações,Dar e receber,2019
106,António Zambujo,Quinto,2013
115,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu,2014
126,António Zambujo,Rua da Emenda,2015
149,António Zambujo,Até pensei que fosse minha,2017
207,António Zambujo,António Zambujo,2018
177,António Zambujo,Do avesso,2019
194,António Zambujo & Miguel Araújo,28 noites ao vivo nos coliseus,2019
87,Ar De Rock,Ar De Rock,2011
347,Atlantihda,Atlantihda,2011
554,Augusto Canário & Amigos,Cantigas de amor a Viana,2011
317,Augusto Canário & Amigos,Biba a Rambóia,2012
530,Augusto Canário & Amigos,Concertina que te quero bem,2012
541,Augusto Canário & Amigos,Fole dentro... fole fora,2013
487,Baile Popular,Baile Popular,2010
476,BandaLusa,Forma de vida,2008
